Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV 1_280		Cond		Conc B		Injection		Run Log		Fraction		UV 1_280_CUT_TEMP@100,BASEM		UV 2_350	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU	ml	mAU
-0.002782	0.043277	-0.002782	88.563416	-0.002782	0	0.000214	""	-0.002782	"Method Settings"	2.003708	"2"	0	-2.958229	-0.002782	0
-0.002283	-3.238184	-0.001783	88.566971	0.002212	0			-0.002686	"Sample Application"	2.503624	"3"	0.000499	-2.957966	-0.000285	-0.059328
-0.001783	-3.209975	-0.000785	88.566574	0.007207	0			1.998788	"Elution"	3.003589	"4"	0.000999	-2.957704	0.002212	-0.137211
-0.001284	-3.188012	0.000214	88.548561	0.012201	0					3.503555	"5"	0.001498	-2.957442	0.004709	-0.160265
-0.000785	-3.16961	0.001213	88.539719	0.017196	0					4.003593	"6"	0.001997	-2.957179	0.007205	-0.182599
-0.000285	-3.151694	0.002212	88.537033	0.02219	0					4.504058	"7"	0.002497	-2.956917	0.009702	-0.206202
0.000214	-2.958229	0.00321	88.535881	0.027184	0					5.004032	"8"	0.002996	-2.956655	0.012199	-0.225278
0.000714	-2.920637	0.004209	88.535683	0.032179	0					5.504064	"9"	0.003496	-2.956393	0.014696	-0.229578
0.001213	-2.898386	0.005208	88.536957	0.037173	0					6.004034	"10"	0.003995	-2.95613	0.017193	-0.229234
0.001712	-2.902344	0.006207	88.539368	0.042168	0					6.504062	"11"	0.004494	-2.955868	0.01969	-0.229795
0.002212	-2.905918	0.007205	88.542221	0.047162	0					7.004038	"12"	0.004994	-2.955606	0.022186	-0.230066
0.002711	-2.909453	0.008204	88.544067	0.052156	0					7.504501	"13"	0.005493	-2.955335	0.024683	-0.22917
0.00321	-2.912956	0.009203	88.542671	0.057151	0					8.004535	"14"	0.005992	-2.955065	0.02718	-0.228431
0.00371	-2.916309	0.010202	88.537178	0.062145	0					8.504506	"15"	0.006492	-2.954795	0.029677	-0.22939
0.004209	-2.919469	0.0112	88.526665	0.067139	0					9.004473	"16"	0.006991	-2.954524	0.032174	-0.232263
0.004709	-2.92263	0.012199	88.512375	0.072134	0					9.504504	"17"	0.007491	-2.954254	0.034671	-0.233594
0.005208	-2.925794	0.013198	88.496819	0.077128	0					10.004481	"18"	0.00799	-2.953984	0.037168	-0.234623
0.005707	-2.853562	0.014197	88.481583	0.082123	0					10.504944	"19"	0.008489	-2.953713	0.039664	-0.236109
0.006207	-2.560154	0.015195	88.467758	0.087117	0					11.004974	"20"	0.008989	-2.953443	0.042161	-0.237599
0.006706	-2.244345	0.016194	88.456322	0.092111	0					11.504943	"21"	0.009488	-2.953173	0.044658	-0.240295
0.007205	-1.925795	0.017193	88.446938	0.097106	0					12.004913	"22"	0.009987	-2.952902	0.047155	-0.244614
0.007705	-1.609516	0.018192	88.439575	0.1021	0					12.504946	"23"	0.010487	-2.952617	0.049652	-0.249354
0.008204	-1.292315	0.01919	88.433968	0.107095	0					13.004917	"24"	0.010986	-2.952332	0.052149	-0.254699
0.008703	-0.974115	0.020189	88.429817	0.112089	0					13.505382	"25"	0.011486	-2.952047	0.054646	-0.259854
0.009203	-0.656123	0.021188	88.42688	0.117083	0					14.005418	"26"	0.011985	-2.951762	0.057142	-0.26197
0.009702	-0.340379	0.022186	88.424911	0.122078	0					14.505384	"27"	0.012484	-2.951478	0.059639	-0.263853
0.010202	-0.023223	0.023185	88.423882	0.127072	0					15.005353	"28"	0.012984	-2.951193	0.062136	-0.266923
0.010701	0.294419	0.024184	88.423553	0.132067	0					15.505387	"29"	0.013483	-2.950908	0.064633	-0.271352
0.0112	0.61076	0.025183	88.423409	0.137061	0					16.005355	"30"	0.013982	-2.950623	0.06713	-0.273831
0.0117	0.860947	0.026181	88.423264	0.142055	0					16.505822	"31"	0.014482	-2.950338	0.069627	-0.272219
0.012199	0.907506	0.02718	88.423561	0.14705	0					17.005856	"32"	0.014981	-2.950053	0.072124	-0.267155
0.012698	0.907614	0.028179	88.423714	0.152044	0					17.505828	"33"	0.01548	-2.949813	0.07462	-0.261718
0.013198	0.907721	0.029178	88.423592	0.157039	0					18.005793	"34"	0.01598	-2.949573	0.077117	-0.258121
0.013697	0.907829	0.030176	88.423515	0.162033	0					18.505832	"35"	0.016479	-2.949333	0.079614	-0.254427
0.014197	0.907951	0.031175	88.423729	0.167027	0					19.005797	"36"	0.016979	-2.949093	0.082111	-0.251682
0.014696	0.908291	0.032174	88.424004	0.172022	0					19.506263	"37"	0.017478	-2.948853	0.084608	-0.249528
0.015195	0.909118	0.033173	88.423737	0.177016	0					20.006301	"38"	0.017977	-2.948613	0.087105	-0.246511
0.015695	0.909947	0.034171	88.42334	0.182011	0					20.506272	"39"	0.018477	-2.948374	0.089602	-0.242944
0.016194	0.910771	0.03517	88.422997	0.187005	0					21.006232	"40"	0.018976	-2.948134	0.092098	-0.239776
0.016693	0.911601	0.036169	88.42247	0.191999	0					21.50627	"41"	0.019475	-2.947894	0.094595	-0.237977
0.017193	0.912381	0.037168	88.422073	0.196994	0					22.00624	"42"	0.019975	-2.947654	0.097092	-0.239125
0.017692	0.912896	0.038166	88.421921	0.201988	0					22.506753	"43"	0.020474	-2.94738	0.099589	-0.241414
0.018192	0.913081	0.039165	88.421791	0.206983	0					23.006743	"44"	0.020974	-2.947105	0.102086	-0.237994
0.018691	0.913267	0.040164	88.421242	0.211977	0					23.506707	"45"	0.021473	-2.946831	0.104583	-0.236169
